,Country,Country Code,Male,Female,Total,Population,"Rate per 100,000",Longitude,Latitude
0,United States of America,USA,239,39,280,331449281,0.08447747997981024,-98.5795,39.828175
1,Soviet Union,SUN,68,2,70,293047571,0.023886906743888346,90.0,65.0
2,Russia,RUS,55,3,58,146804372,0.03950836014611336,94.25,66.416666666
3,France,FRA,43,6,49,67749632,0.07232511609804759,2.0,47.0
4,United Kingdom,GBR,36,5,43,67326569,0.06386780232332943,-2.0,54.6
5,Germany,DEU,27,5,33,83149300,0.039687646197863365,10.0,51.0
6,Mexico,MEX,24,8,32,124777324,0.02564568542918904,-102.0,23.0
7,South Africa,ZAF,24,1,25,60142978,0.0415676124318287,24.0,-29.0
8,Japan,JPN,20,5,25,125440000,0.01992984693877551,136.0,35.0
9,Australia,AUS,21,3,25,24511800,0.10199169379645723,137.0,-28.0
10,Italy,ITA,20,3,24,60317000,0.03978977734303762,12.5,42.5
11,Canada,CAN,21,0,21,36991981,0.05676906029985255,-109.0,56.0
12,Spain,ESP,12,3,16,47415750,0.033744061835993315,-3.5,40.2
13,People's Republic of China,CHN,14,0,14,1443497378,0.0009698666733567146,103.451944444,35.844722222
14,Belgium,BEL,9,2,11,11584008,0.09495849795683843,4.668055555,50.641111111
15,Brazil,BRA,11,0,11,213317639,0.005156629358718901,-53.0,-14.0
16,India,IND,11,0,11,1326093247,0.0008295042618522586,83.0,22.8
17,Czechoslovakia,CSK,7,3,10,15700000,0.06369426751592357,14.416666666,50.083333333
18,Kingdom of the Netherlands,NLD,7,1,8,17100715,0.046781669655333126,4.883333333,52.366666666
19,Ukraine,UKR,8,0,8,41588354,0.019236154429194286,32.0,49.0
20,Poland,POL,7,0,7,38382576,0.018237441905931483,19.0,52.0
21,Turkey,TUR,7,0,7,84680273,0.008266388087813556,36.0,39.0
22,Iran,IRN,7,0,7,86758304,0.008068391931681835,53.0,32.0
23,Hungary,HUN,4,2,6,9769526,0.06141546683022287,19.0,47.0
24,Austria,AUT,4,2,6,8979894,0.06681593346202082,14.0,48.0
25,Pakistan,PAK,5,0,5,223773700,0.002234400199844754,71.0,30.0
26,Romania,ROU,4,1,5,19053815,0.02624146397978568,25.0,46.0
