,Penalty,Male,Female,Total
0,capital punishment,148,133,15
1,life imprisonment,111,102,9
2,involuntary commitment,8,7,1
3,incarceration,6,5,1
4,capital punishment in Japan,3,3,0
5,hanging,2,1,1
6,solitary confinement,1,1,0
7,back-to-back life sentences,1,1,0
8,electric chair,1,1,0
9,None,1,1,0
10,penal transportation,1,1,0
11,mandatory sentencing,1,1,0
12,execution by hanging,1,1,0
13,immurement,1,0,1
14,Life imprisonment in Russia,1,1,0
15,Katorga,1,1,0
16,dismemberment,1,1,0
17,imprisonment,1,0,1
